"hour","city_tier","raw_mean","raw_median","n_observations","smoothed_engagement"
0,"first-tier city",0,0,4330,0
0,"other",0,0,10425,0
0,"second-tier city",0,0,5219,0
0,"third-tier city",0,0,7033,0
1,"first-tier city",0,0,5468,0
1,"other",0,0,16945,0
1,"second-tier city",0,0,6616,0
1,"third-tier city",0,0,7262,0
2,"first-tier city",0,0,5492,0
2,"other",0,0,14786,0
2,"second-tier city",0,0,4976,0
2,"third-tier city",0,0,8476,0
3,"first-tier city",0,0,6618,0
3,"other",0,0,20928,0
3,"second-tier city",0,0,7102,0
3,"third-tier city",0,0,9279,0
4,"first-tier city",0,0,8778,0
4,"other",0,0,22616,0
4,"second-tier city",0,0,5150,0
4,"third-tier city",0,0,10973,0
5,"first-tier city",0,0,8623,0
5,"other",0,0,24434,0
5,"second-tier city",0,0,8254,0
5,"third-tier city",0,0,12240,0
6,"first-tier city",0,0,11180,0
6,"other",0,0,29686,0
6,"second-tier city",0,0,10222,0
6,"third-tier city",0,0,14062,0
7,"first-tier city",0,0,7601,0
7,"other",0,0,26117,0
7,"second-tier city",0,0,9360,0
7,"third-tier city",0,0,15527,0
8,"first-tier city",0,0,7457,0
8,"other",0,0,25608,0
8,"second-tier city",0,0,6392,0
8,"third-tier city",0,0,13219,0
9,"first-tier city",0,0,8198,0
9,"other",0,0,19869,0
9,"second-tier city",0,0,6206,0
9,"third-tier city",0,0,10238,0
10,"first-tier city",0,0,8695,0
10,"other",0,0,24018,0
10,"second-tier city",0,0,8934,0
10,"third-tier city",0,0,9619,0
11,"first-tier city",0,0,11000,0
11,"other",0,0,26252,0
11,"second-tier city",0,0,9540,0
11,"third-tier city",0,0,12135,0
12,"first-tier city",0,0,11135,0
12,"other",0,0,28274,0
12,"second-tier city",0,0,11246,0
12,"third-tier city",0,0,14530,0
13,"first-tier city",0,0,10822,0
13,"other",0,0,39098,0
13,"second-tier city",0,0,12522,0
13,"third-tier city",0,0,19550,0
14,"first-tier city",0,0,14354,0
14,"other",0,0,44396,0
14,"second-tier city",0,0,15092,0
14,"third-tier city",0,0,21194,0
15,"first-tier city",0,0,16097,0
15,"other",0,0,40366,0
15,"second-tier city",0,0,10412,0
15,"third-tier city",0,0,19671,0
16,"first-tier city",0,0,10733,0
16,"other",0,0,31105,0
16,"second-tier city",0,0,11529,0
16,"third-tier city",0,0,15074,0
17,"first-tier city",0,0,6610,0
17,"other",0,0,19703,0
17,"second-tier city",0,0,4650,0
17,"third-tier city",0,0,6727,0
18,"first-tier city",0,0,0,0
18,"other",0,0,0,0
18,"second-tier city",0,0,0,0
18,"third-tier city",0,0,0,0
19,"first-tier city",0,0,254,0
19,"other",0,0,590,0
19,"second-tier city",0,0,454,0
19,"third-tier city",0,0,206,0
20,"first-tier city",0,0,1650,0
20,"other",0,0,3242,0
20,"second-tier city",0,0,2206,0
20,"third-tier city",0,0,1385,0
21,"first-tier city",0,0,1399,0
21,"other",0,0,2580,0
21,"second-tier city",0,0,1461,0
21,"third-tier city",0,0,1272,0
22,"first-tier city",0,0,1229,0
22,"other",0,0,4132,0
22,"second-tier city",0,0,1316,0
22,"third-tier city",0,0,2322,0
23,"first-tier city",0,0,2139,0
23,"other",0,0,6436,0
23,"second-tier city",0,0,3113,0
23,"third-tier city",0,0,3141,0
