category_level,category_id,category_name_cn,parent_id,root_id,category_name_en
2,134,美女,8,8, beauty
2,577,美食售卖,12,12, gourmet food sales
3,1256,产品与运营,163,14, Products and Operations
3,1248,熊猫,183,17, panda
2,204,理财,22,22, Financial management
3,1141,花艺,167,15, Floriculture
2,578,健康售卖,16,16, health-related products
3,1903,抓娃娃,147,11, Claw doll
3,2216,魔兽世界,263,3, World of Warcraft
3,1959,面塑,167,15, Dough sculptures
2,271,吃鸡游戏,3,3, chicken game
3,1360,古装片,288,39, costume films
3,1404,泰国,289,39, Thailand
2,155,吃播,12,12, eating
2,276,养成游戏,3,3, Cultivate the game
2,403,航空航天器,35,35, aerospace spacecraft
3,2240,植发,114,4, hair implants
2,565,策略游戏,3,3, strategy games
3,1063,高尔夫,126,7, golf
2,100,民族舞,1,1, folk dance
3,1812,养鸡鸭鹅,158,13, raising chickens ducks and geese
3,1040,鞋靴,121,5, shoes
3,1001,田间演唱,109,2, field singing
3,1242,科技周边,220,27, Tech Peripheral
2,203,创业,22,22, entrepreneurship
1,12,美食,12,12, gourmet
3,1352,谍战片,288,39, spy films
3,1455,其他看病治病,179,16, other medical treatment
3,2102,结婚现场,150,11, wedding scene
3,1373,年代片,288,39, period film
3,2258,马头琴,110,2, Matouqin
2,368,动画,20,20, animation
2,368,动画,20,20, horror films
3,1265,架子鼓,110,2, drum set
3,1163,常见疾病,179,16, common diseases
3,1403,台湾,289,39, Taiwan
2,561,汽车日常,18,18, Automobile daily
2,564,其他游戏,3,3, other games
3,1460,菜肴,153,12, dishes
3,1393,灾难片,288,39, Disaster movies
2,158,养殖业,13,13, aquaculture
3,1392,音乐片,288,39, musical film
3,1981,产检,213,25, Maternity Examination
3,1885,写真,369,26, photo
3,1157,二人转,170,15, duet
3,2300,市场动态与分析,204,22, Market Dynamics and Analysis
2,622,老照片,21,21, old photos
2,183,野生动物,17,17, wildlife
3,1003,自制音乐,109,2, homemade music
3,1801,转打火机,321,15, turn the lighter
2,110,乐器,2,2, instruments
2,120,时尚穿搭,5,5, fashion wear
3,2105,剪发,114,4, haircuts
2,338,实验发明,29,29, Experimental inventions
2,338,实验发明,29,29, Peace Elite
3,2259,大提琴,110,2, cello
3,1259,电脑软件,163,14, Computer software
2,643,纹绣,4,4,tattoos
3,2204,其他养殖业,158,13, other aquaculture
3,1354,动作片,288,39, anime
3,1862,弹弓,321,15, Slingshot
2,277,电子竞技,3,3, esports
3,1357,犯罪片,288,39, crime films
3,2350,消防工程师,163,14, Fire engineer
3,1339,荒野行动,271,3, Operation Wilderness
2,140,搞笑街头采访,9,9, funny street interview
3,1125,法语,161,14, French
3,1039,箱包,121,5, bags
3,1879,口技,1879,1879, ventriloquism
3,2325,高甜短剧,123,39, Sweet Skits
2,351,海外游,10,10, overseas travel
2,336,手机摄影,26,26, mobile photography
2,264,枪战射击,3,3, gunfight
3,1396,德国,289,39, Germany
2,233,宠物,17,17, pets
2,233,宠物,17,17, under one person
2,386,职业生活,11,11, Professional Life
2,232,保健养生,16,16, health and wellness
3,1958,泥塑,167,15, clay sculpture
2,632,恋爱游戏,3,3, love game
2,374,建筑建造,36,36, building construction
3,1266,手鼓,110,2, tabla
3,1159,戏曲,170,15, Opera
3,1059,乒乓球,126,7, table tennis
3,1337,绝地求生,271,3, PUBG
3,1853,果蔬,337,12, fruits and veggies
2,345,拉车游,10,10, pull tour
3,1126,俄语,161,14, Russian
1,7,运动,7,7, movement
3,1834,签名设计,319,15, Signature Design
3,2221,QQ炫舞,269,3,QQ Dazzle Dance
3,1818,小说,316,38, Novel
2,608,高新数码开箱,27,27, Advanced Digital open box
3,2209,荒野乱斗,431,3,brawl
2,228,商业法律,30,30, Commercial Law
3,1052,潜水,129,7, diving
3,1383,探险片,288,39, Adventure film
2,104,古风舞蹈,1,1, Ancient dance
3,1880,绝技,321,15, stunts
3,2324,恋爱短剧,123,39, love skits
2,363,爱国,19,19, patriotic
2,236,即兴舞蹈,1,1, improvisational dance
3,2317,家纺,373,36, home textiles
3,2284,冰球,593,7, puck
2,419,自拍,34,34, selfie
3,1964,年画,167,15, New Year Pictures
2,430,回合,3,3, Turn based game
3,2236,生死狙击,264,3, Life and death sniper
2,322,心理测试,24,24, psychological tests
2,354,仿妆,4,4, action movies
2,354,仿妆,4,4, imitation makeup
3,1972,养车,253,18, Car maintenance
3,1238,电脑,220,27, computer
3,1969,二手车,252,18, used cars
3,2274,赛艇皮划艇,129,7, rowing and kayaking
3,1882,魔方,321,15, Rubik's Cube
3,2208,婴幼儿辅食,214,25, infant complementary food
2,641,丧系负能量,19,19, loss of negative energy
3,2256,拇指琴,110,2, thumb piano
3,2100,婚纱照,150,11, wedding photos
2,647,动漫解说,20,20, anime commentary
2,563,游戏广告,3,3, game ads
2,318,异事,37,37, anomaly
3,1137,计算机等级,163,14, computer level
3,1073,轮滑,133,7, roller skating
3,2357,摩托车赛事,399,18, motorcycle racing
1,5,穿搭,5,5, wear it
3,2341,DJ乐器,110,2,DJ instruments
3,1381,神话片,288,39, Mythological films
3,1377,枪战片,288,39, Shootout film
3,1810,养牛羊,158,13, raising cattle and sheep
3,1252,律师资格,163,14, bar admission
2,206,伊斯兰教,23,23, Islam
3,1841,念珠制作,167,15, Rosary making
2,603,网红,6,6, influencer
3,2205,内衣,121,5, underwear
3,1395,罪案片,288,39, crime movies
3,2200,其他农民工,156,11, other migrant workers
2,372,装修设计,36,36, Decoration design
2,395,继承法,30,30, Inheritance law
3,1106,烘焙,153,12, baking
1,20,二次元,20,20, quadratic
2,432,卡牌角色扮演游戏（卡牌RPG）,3,3, Card Role-playing Game (Card RPG)
2,600,汽车探店,18,18, auto Scout
3,2206,睡衣,121,5, pajamas
2,340,骑行游,10,10, cycling tour
3,1890,股市,204,22, stock market
2,150,婚礼,11,11, wedding
3,1074,滑板,133,7, skateboard
3,1371,冒险片,288,39, Adventure films
2,109,唱歌,2,2, sing
2,287,生活小妙招,11,11, Life hacks
3,1828,手工花,167,15, handmade flowers
2,240,烹饪教学,12,12, cooking instruction
2,163,职业教育,14,14, Vocational Education
3,1823,素描,168,15, sketch
3,1245,羊驼,183,17, alpaca
3,1161,肿瘤癌症,179,16, tumor cancer
3,1889,玩具短剧,214,25, Toy Skits
3,2223,方舟：生存进化,431,3, Ark: Survival Evolution
3,1152,简笔画,168,15, stick figure
3,2358,汽车赛事与拉力赛,399,18, motor racing and rallying
3,2101,结婚布置,150,11, wedding arrangements
3,2109,penbeat,110,2,Pen Beat
2,317,异象,37,37, vision
3,1457,甜品,153,12, dessert
2,117,美甲,4,4, nail art
3,1271,葫芦丝,110,2, fenugreek
3,1376,奇幻片,288,39, Fantasy films
3,1064,武术,128,7, martial arts
3,1378,青春片,288,39, youth films
3,1237,手机,220,27, cell phone
1,25,亲子,25,25, parent-child
3,1045,童装,121,5, children's clothing
2,187,户外越野,18,18, off-road
3,2239,王牌战士,264,3,Ace Force
3,2235,洛克王国,431,3, Locke Kingdom
3,1101,赶海,147,11, Ganhai
3,2334,动态漫,368,20, dynamic
1,16,健康,16,16, healthy
3,1147,锻造,167,15, forging
3,1300,穿越火线,264,3, Cross the line of fire
2,398,民间俗语,38,38, folk saying
3,1239,相机,220,27, camera
3,1854,国内时政,224,28, Domestic Affairs
2,133,街头运动,7,7, street movement
3,1308,炉石传说,265,3, Hearthstone 
3,1394,战争片,288,39, War films
3,1315,QQ飞车,267,3,QQ Speed
3,1351,传记片,288,39, Biopic
2,373,家居家饰,36,36, Home furnishings
3,1804,饮品,153,12, drinks
3,1356,儿童片,288,39, children's films
2,663,站内功能与年度影集,34,34, In-site features and annual albums
3,1319,我的世界,268,3, Minecraft
2,207,基督教,23,23, Christianity
2,214,育儿,25,25, parenting
3,1262,钢琴,110,2, piano
2,343,迷你厨房,12,12, mini kitchen
3,2305,琵琶,110,2, lute
3,2229,阴阳师,430,3, Onmyoji
3,1454,儿童健康,214,25, Child Health
2,116,护理,4,4, nursing
3,2234,逃跑吧少年,431,3, Run away boy
1,21,历史,21,21, history
3,1966,漆器,167,15, lacquerware
3,2328,魔幻短剧,123,39,
3,1985,产后抑郁,213,25, Postpartum depression
3,1875,cosplay,195,20, cosplay
2,572,穿搭售卖,5,5, fashion products
2,106,宅舞,1,1, house dance
3,1348,格斗,128,7, fighting
3,1247,企鹅,183,17, Penguin
3,2349,代驾司机,386,11, substitute driver
2,242,音乐教学,2,2, Music Teaching
2,127,田径,7,7, track and field
2,329,听书,38,38, listen
3,1294,DNF,263,3,Dungeon & Fighter
3,2306,单簧管,110,2, clarinet
2,129,水上运动,7,7, water sports
2,407,境内游,10,10, domestic travel
3,1323,创造与魔法,431,3, Creation and Magic
2,371,建筑材料,36,36, building materials
3,1251,财会金融,163,14, Accounting and Finance
2,201,房产,36,36, real estate
3,1244,松鼠,183,17,squirrels
2,258,日常法律,30,30, daily law
3,1884,手帐,167,15, hand ledger
2,549,搞笑表情包,9,9,funny memes
3,1172,乌龟,233,17, Turtle
2,627,法制日常,30,30,legal daily life
3,2347,卡丁车,147,11, kart
3,1878,声优,1878,1878, voice actor
2,585,美妆评测,4,4, beauty review
3,1071,蹦极,130,7, bungee jump
2,162,学业教育,14,14, Academic Education
2,199,历史事件,21,21, Historical events
3,1973,汽车配件,253,18, Auto Parts
3,1240,平衡车,220,27, balance car
3,2224,Sky光·遇,431,3,Sky light
3,1830,社会事件,223,28, Social Events
2,184,爬虫飞虫,17,17, reptiles and flying insects
3,1800,钻石画,167,15, diamond painting
2,230,婚姻法律,30,30, Matrimonial law
3,2215,逆战,264,3, The Reverse
3,2269,手球,126,7, handball
2,621,文物与博物馆,21,21, Cultural Relics and Museums
2,431,冒险游戏,3,3, adventure games
3,2145,染发烫发,114,4, dye and perm
2,358,道教,23,23, Taoism
3,2233,一人之下,111,3,The Outcast
3,1960,糖塑,167,15, Sugar sculpture
3,1267,萨克斯,110,2, Saxophone
2,205,佛教,23,23, Buddhism
2,239,舞蹈教学,1,1, Ace warrior
2,239,舞蹈教学,1,1, Dance Teaching
3,2212,象棋,266,3, chess
3,1342,英雄联盟,272,3, League of Legends
1,34,随手拍,34,34, random shot
3,2310,歌剧交响乐,110,2, Opera symphony
3,2137,音乐现场,109,2, Music scene
2,263,大型多人在线游戏（MMO）,3,3, Massively multiplayer Online Games (Mmos)
2,618,动物训练矫正,17,17, Animal Training and Correction
2,108,广场舞,1,1, square dance
3,2318,电力工人,386,11, electric worker
3,1871,触漫,367,20, Touch Man
2,387,综艺,6,6, Variety
2,254,说车评车,18,18, say car review
3,1389,玄幻片,288,39, Fantasy film
3,1963,皮影,167,15, Shadow play
3,1272,4-12岁萌娃,235,25, children ages 4-12
2,411,辅助生殖,16,16, Assisted reproduction
3,1898,养花,147,11, Growing flowers
3,1253,人力资源,163,14, Human resources
3,1398,韩国,289,39, South Korea
2,381,非洲生活,11,11, Life in Africa
3,2207,汽车租赁,252,18, car rental
1,28,资讯,28,28, information
3,1858,服装设计,319,15, Fashion Design
